X,Y,track_fid,track_seg_id,track_seg_point_id,ele
3.277543,51.349522,0,0,0,11
3.277561,51.349487,0,0,1,10.6
3.277578,51.349452,0,0,2,10.4
3.277596,51.349417,0,0,3,10.2
3.27764,51.349348,0,0,4,10.2
3.277687,51.349277,0,0,5,10.2
3.277735,51.349206,0,0,6,10.2
3.277786,51.349131,0,0,7,10.2
3.277856,51.349066,0,0,8,10.2
3.277953,51.349028,0,0,9,10.2
3.278073,51.349023,0,0,10,10
3.278196,51.349044,0,0,11,9.8
3.278319,51.349079,0,0,12,9.8
3.278439,51.349123,0,0,13,9.8
3.278559,51.349167,0,0,14,9.8
3.278679,51.349211,0,0,15,9.8
3.278808,51.349258,0,0,16,9.8
3.278944,51.349307,0,0,17,9.8
3.279056,51.349348,0,0,18,9.6
3.279225,51.349408,0,0,19,9.4
3.279368,51.349459,0,0,20,9.2
3.279489,51.349499,0,0,21,9
3.27964,51.349552,0,0,22,8.6
3.279788,51.349604,0,0,23,8.6
3.279977,51.349666,0,0,24,8.4
3.280131,51.34972,0,0,25,8.2
3.280284,51.349773,0,0,26,8.2
3.280408,51.349819,0,0,27,7.8
3.280568,51.349875,0,0,28,7.4
3.280765,51.349935,0,0,29,7
3.280925,51.349986,0,0,30,7.2
3.281086,51.350035,0,0,31,7.4
3.281215,51.350079,0,0,32,7.6
3.281376,51.350134,0,0,33,7.6
3.281573,51.3502,0,0,34,7.6
3.281732,51.350255,0,0,35,7.6
3.281893,51.350311,0,0,36,7.6
3.282054,51.350364,0,0,37,7.6
3.282221,51.350417,0,0,38,7.8
3.282387,51.350471,0,0,39,7.8
3.282556,51.350526,0,0,40,8
3.282724,51.350584,0,0,41,8
3.282893,51.350637,0,0,42,7.8
3.283055,51.350697,0,0,43,7.6
3.283201,51.350767,0,0,44,7.6
3.283325,51.350855,0,0,45,7.6
3.283418,51.350959,0,0,46,7.8
3.283489,51.351072,0,0,47,7.6
3.283542,51.351191,0,0,48,7.2
3.283602,51.351309,0,0,49,6.6
3.283661,51.351426,0,0,50,6.4
3.283718,51.351541,0,0,51,6.4
3.283782,51.351656,0,0,52,6.2
3.283855,51.35177,0,0,53,6.2
3.283946,51.351879,0,0,54,6.2
3.284059,51.351983,0,0,55,6.2
3.284197,51.352073,0,0,56,6.4
3.284357,51.352142,0,0,57,6.6
3.284524,51.352202,0,0,58,7
3.284697,51.352255,0,0,59,7.4
3.284871,51.35231,0,0,60,7.6
3.285044,51.352369,0,0,61,8.2
3.285213,51.35243,0,0,62,8.4
3.285386,51.352489,0,0,63,8.8
3.285558,51.352548,0,0,64,8.8
3.285731,51.352608,0,0,65,9
3.285904,51.352665,0,0,66,9
3.286079,51.35272,0,0,67,9
3.286256,51.352775,0,0,68,9.2
3.286432,51.352831,0,0,69,9.2
3.286642,51.352896,0,0,70,9.2
3.286784,51.352937,0,0,71,8.8
3.286964,51.352983,0,0,72,8.2
3.287146,51.353024,0,0,73,7.8
3.287365,51.353067,0,0,74,8
3.287549,51.353101,0,0,75,7.6
3.287696,51.353129,0,0,76,7.6
3.287882,51.353169,0,0,77,7.4
3.288106,51.353215,0,0,78,7.4
3.288293,51.353255,0,0,79,7.6
3.288484,51.353298,0,0,80,7.6
3.288636,51.353332,0,0,81,7.8
3.288824,51.353376,0,0,82,8.2
3.289015,51.35342,0,0,83,8.6
3.289243,51.353471,0,0,84,9
3.289394,51.353504,0,0,85,9
3.289583,51.353544,0,0,86,9.2
3.289772,51.353581,0,0,87,9.2
3.289962,51.353621,0,0,88,9.2
3.290189,51.35367,0,0,89,9.2
3.290375,51.353707,0,0,90,9.4
3.290523,51.353733,0,0,91,9.4
3.290706,51.353768,0,0,92,9.4
3.290891,51.353804,0,0,93,9.4
3.291119,51.353853,0,0,94,9.4
3.291309,51.353896,0,0,95,9.4
3.29146,51.35393,0,0,96,9.2
3.291647,51.35397,0,0,97,9
3.291835,51.35401,0,0,98,9
3.292064,51.354053,0,0,99,9
3.292218,51.354078,0,0,100,8.8
3.292449,51.354112,0,0,101,8.8
3.292636,51.354144,0,0,102,8.8
3.292785,51.354175,0,0,103,8.8
3.292974,51.354215,0,0,104,8.8
3.293201,51.354262,0,0,105,8.8
3.293393,51.354299,0,0,106,8.8
3.293546,51.354325,0,0,107,8.8
3.293736,51.354361,0,0,108,8.8
3.293926,51.3544,0,0,109,8.8
3.294153,51.354445,0,0,110,8.8
3.294305,51.354475,0,0,111,9
3.294534,51.354525,0,0,112,9
3.294728,51.35457,0,0,113,9
3.294883,51.354604,0,0,114,9
3.295115,51.354656,0,0,115,9
3.295305,51.3547,0,0,116,9.2
3.295485,51.354739,0,0,117,9.4
3.295614,51.354764,0,0,118,9.8
3.295762,51.354776,0,0,119,10
3.295907,51.354779,0,0,120,10.4
3.29598,51.354716,0,0,121,10.4
3.296044,51.354664,0,0,122,10.6
3.296052,51.354585,0,0,123,10.8
3.296021,51.354499,0,0,124,11
3.295959,51.354395,0,0,125,11.2
3.295902,51.354291,0,0,126,11.4
3.295847,51.354184,0,0,127,11.4
3.295802,51.35407,0,0,128,11.4
3.295765,51.353969,0,0,129,11.2
3.295688,51.353883,0,0,130,11
3.295572,51.353818,0,0,131,11.2
3.295429,51.353756,0,0,132,11.2
3.295296,51.353704,0,0,133,11.4
3.295166,51.353636,0,0,134,11.4
3.29504,51.35355,0,0,135,11.4
3.294917,51.353475,0,0,136,11.2
3.294789,51.353402,0,0,137,11
3.294658,51.353333,0,0,138,10.2
3.294528,51.353263,0,0,139,9.2
3.294381,51.353191,0,0,140,8.8
3.294235,51.353088,0,0,141,8.2
3.294105,51.353006,0,0,142,8
3.293969,51.352921,0,0,143,7.6
3.293832,51.352835,0,0,144,7.6
3.293686,51.352747,0,0,145,7.4
3.293544,51.35266,0,0,146,7.4
3.293404,51.352567,0,0,147,7.6
3.293261,51.352477,0,0,148,7.6
3.293112,51.352388,0,0,149,7.4
3.292958,51.352303,0,0,150,7.4
3.292802,51.352213,0,0,151,7.4
3.292645,51.352119,0,0,152,7.8
3.292494,51.352029,0,0,153,7.8
3.292339,51.351939,0,0,154,7.8
3.292142,51.351828,0,0,155,7.8
3.292011,51.351753,0,0,156,7.8
3.29185,51.351653,0,0,157,7.8
3.291686,51.351552,0,0,158,7.8
3.291532,51.351454,0,0,159,7.4
3.291339,51.351341,0,0,160,7.2
3.291204,51.351268,0,0,161,6.8
3.29103,51.351173,0,0,162,6.6
3.290857,51.351085,0,0,163,6.6
3.290691,51.350995,0,0,164,6.6
3.29053,51.350905,0,0,165,6.6
3.290372,51.350813,0,0,166,6.2
3.290217,51.350719,0,0,167,6.2
3.290065,51.350624,0,0,168,6.2
3.289915,51.350528,0,0,169,6.2
