X,Y,track_fid,track_seg_id,track_seg_point_id,ele
138.932663,35.372929,0,0,140,548.6
138.932541,35.372814,0,0,141,548.9
138.932434,35.372707,0,0,142,549.2
138.932358,35.372623,0,0,143,549.3
138.932266,35.372528,0,0,144,549.6
138.93219,35.372452,0,0,145,549.8
138.932114,35.372379,0,0,146,550
138.932053,35.372311,0,0,147,550.2
138.931976,35.372227,0,0,148,550.5
138.931915,35.37215,0,0,149,550.7
138.931885,35.372059,0,0,150,550.9
138.931869,35.371979,0,0,151,551
138.931885,35.371887,0,0,152,551.2
138.931915,35.371803,0,0,153,551.4
138.931961,35.371738,0,0,154,551.6
138.932022,35.371674,0,0,155,551.7
138.932083,35.371601,0,0,156,551.9
138.932144,35.371525,0,0,157,552
138.932205,35.37146,0,0,158,552
138.932251,35.371395,0,0,159,552.1
138.932312,35.37133,0,0,160,552.1
138.932373,35.371254,0,0,161,552
138.932434,35.371178,0,0,162,551.8
138.93251,35.371098,0,0,163,551.7
138.932556,35.371029,0,0,164,551.7
138.932632,35.370945,0,0,165,551.6
138.932693,35.370861,0,0,166,551.5
138.93277,35.370777,0,0,167,551.4
138.932846,35.370693,0,0,168,551.2
138.932938,35.370613,0,0,169,551
138.933029,35.370537,0,0,170,550.8
138.933121,35.37048,0,0,171,550.5
138.933228,35.37043,0,0,172,549.8
138.93335,35.370377,0,0,173,548.8
138.933502,35.370335,0,0,174,547.7
138.93367,35.370312,0,0,175,546.5
138.933838,35.370304,0,0,176,545.4
138.934021,35.370308,0,0,177,544.2
138.934189,35.370308,0,0,178,543.3
138.934387,35.370316,0,0,179,542.3
138.934601,35.370319,0,0,180,541
138.934769,35.370323,0,0,181,539.3
138.934982,35.370327,0,0,182,534.3
138.93515,35.370331,0,0,183,525.4
138.935333,35.370338,0,0,184,523.4
138.935501,35.370342,0,0,185,522.9
138.935715,35.370346,0,0,186,522.2
138.935928,35.37035,0,0,187,521.4
138.936111,35.370358,0,0,188,521.8
138.936295,35.370361,0,0,189,523.2
138.936478,35.370365,0,0,190,524.4
138.936661,35.370369,0,0,191,525.7
138.936874,35.370361,0,0,192,527.2
138.937103,35.370346,0,0,193,529
138.937286,35.370319,0,0,194,530.3
138.937515,35.370266,0,0,195,532
138.937744,35.37019,0,0,196,532.1
138.937912,35.370106,0,0,197,530
138.93811,35.369984,0,0,198,527.8
138.938248,35.369865,0,0,199,526.4
138.938385,35.369732,0,0,200,524.9
138.938507,35.36956,0,0,201,523.1
138.938614,35.369369,0,0,202,521.4
138.93866,35.369205,0,0,203,519.9
138.938705,35.369003,0,0,204,518.2
138.938705,35.368832,0,0,205,516.4
138.938675,35.36866,0,0,206,512.6
138.938629,35.368492,0,0,207,509.2
138.938553,35.368328,0,0,208,506
138.938461,35.368175,0,0,209,503.3
138.938324,35.367996,0,0,210,503.4
138.938232,35.367821,0,0,211,501.6
138.938141,35.367645,0,0,212,499.2
138.938141,35.367432,0,0,213,494.2
138.938248,35.367237,0,0,214,492.2
138.938385,35.367096,0,0,215,490.9
138.938553,35.366936,0,0,216,489.5
138.938675,35.366802,0,0,217,488.4
138.938827,35.366646,0,0,218,487.1
138.93895,35.36652,0,0,219,486.3
138.939072,35.366394,0,0,220,485.6
138.939194,35.366268,0,0,221,484.9
138.939331,35.366119,0,0,222,484.1
138.939453,35.365997,0,0,223,483.4
138.939575,35.365875,0,0,224,482.8
138.939697,35.365753,0,0,225,482.3
138.939804,35.365631,0,0,226,481.9
138.939926,35.365509,0,0,227,481.5
138.940033,35.365383,0,0,228,481.1
138.94014,35.365261,0,0,229,480.8
138.940262,35.365112,0,0,230,480.3
138.940399,35.364963,0,0,231,479.7
138.940521,35.364811,0,0,232,479
138.940628,35.364685,0,0,233,478.5
138.94072,35.364559,0,0,234,478
138.940842,35.364407,0,0,235,477.3
138.940933,35.364277,0,0,236,476.6
138.94104,35.364147,0,0,237,475.7
138.941147,35.363995,0,0,238,474.4
138.941238,35.363861,0,0,239,473.1
138.941345,35.363705,0,0,240,471.7
138.941437,35.363575,0,0,241,470.4
138.941544,35.363415,0,0,242,468.9
138.94162,35.363281,0,0,243,467.7
138.941727,35.363121,0,0,244,466.2
138.941803,35.362987,0,0,245,465
138.94191,35.362823,0,0,246,463.4
138.942001,35.362663,0,0,247,461.9
138.942093,35.362499,0,0,248,460.4
138.942169,35.362362,0,0,249,459.1
138.942261,35.362198,0,0,250,457.4
138.942352,35.362034,0,0,251,455.7
138.942398,35.361893,0,0,252,454.2
138.942444,35.361748,0,0,253,452.5
138.942444,35.361576,0,0,254,450.7
138.942444,35.361431,0,0,255,449.4
138.942413,35.361286,0,0,256,448.3
138.942383,35.361149,0,0,257,447.6
138.942352,35.360989,0,0,258,447
138.942337,35.360859,0,0,259,446.8
138.942306,35.360737,0,0,260,446.6
138.942276,35.360592,0,0,261,446.4
138.942245,35.360477,0,0,262,446.5
138.942215,35.360348,0,0,263,446.7
138.9422,35.360226,0,0,264,447.5
138.942184,35.360119,0,0,265,448.2
138.942184,35.360031,0,0,266,448.8
138.942184,35.359936,0,0,267,449.4
